Book,Position ID,CUSIP,Sub Type,PRODUCT_CODE_2052a_Collateral_Class,Issuer,Current Factor,Coupon,Maturity Date,Nominal,CA_NOTIONAL,TOTAL_PAYDOWN_BOOK_VALUE,MTB_BOOK VALUE (Clean),PV_NET (MV Clean),MTB_BOOK PRICE (Clean),PRICE (Mkt),NPV_DISC (Clean MTM),Curve Date,Prepay Model,Prepay Rate,Vol Model,Curve Type,Forward Yield,Prospective Yield,Effective Duration,Effective Convexity,Effective DV01,Dollar Duration,1YR,2YR,3YR,5YR,10YR,20YR,30YR,Average Life,LT CPR,OAS,Z-Spread,Factor,Life CPR,GWAC,WALA,WALS,MaxServicerName,MaxServicerPercent,Eff. Dur,DV01,Dollar Return,Eff. Dur.1,DV01.1,Dollar Return.1,Eff. Dur.2,DV01.2,Dollar Return.2,Eff. Dur.3,DV01.3,Dollar Return.3
233_PUB_HTM,612346,000416V38,MUNI,IG-2,ABC CA UNIF SCH DIST,,3,8/1/2036," 580,000 "," 580,000 ", -   ,579951.94,549686.24,99.9917,94.77349,-30265.69,4/30/2026,Muni,100,Single,RFRSwap,3.614178,3.000628,6.872154236,-0.363225311,0.065639488,380.7090304,-0.0074,-0.012,0.5399,0.7888,5.4098,0.1272,0,6.8926,,-78.0884,-36.580174,,,,,,,,8.8498,0.09915621769,16.52829898,8.8005,0.09501920883,12.45508251,8.6384,0.08285649554,0.40132771,8.5333,0.07601188441,-6.43838129
233_PUB_HTM,611322,005104HJ6,MUNI,IG-2,ACUSHNET MA,1,3.5,8/1/2034,935000," 935,000 ", -   ,935000,935134.36,100,100.01437,134.36,4/30/2026,Muni,100,Single,RFRSwap,3.497148,3.499404,0.722846806,-2.341987848,0.007292053,68.18069555,0.147,0.034,0.0362,0.221,0.1327,0,0,0.4099,,-159.4466,-46.93904,,,,,,,,6.3198,0.06401746951,0.41702176,6.3188,0.06395010352,0.32644114,6.3166,0.0637986296,0.12188719,6.2978,0.06253599017,-1.58149555
233_PUB_HTM,611540,0054823B8,MUNI,IG-2,ADAMS & ARAPAHOE CNTYS CO JT S,,5,12/1/2031,3000000," 3,000,000 ", -   ,3048803.15,3041841,101.6268,101.3947,-6962.15,4/30/2026,Muni,100,Single,RFRSwap,4.712257,4.664976,0.762487292,-0.505048275,0.00788901,236.6703,0.5643,0.0302,0.0284,0.1251,0.012,0,0,0.692,,-125.9517,-116.084637,,,,,,,,4.7586,0.05029644384,2.23174024,4.753,0.04994342083,1.61353493,4.7418,0.04924383294,0.38636206,4.7327,0.04868554331,-0.59359842
233_PUB_HTM,611962,010824MA5,MUNI,IG-2,ALAMEDA CA UNIF SCH DIST ALAME,,3,8/1/2037,1275000," 1,275,000 ", -   ,1255623.97,1195374.08,98.4803,93.75483,-60249.89,4/30/2026,Muni,100,Single,RFRSwap,3.682547,3.161234,6.73261261,-1.062603116,0.063620828,811.165557,0.0873,0.1631,0.2454,0.5953,4.9735,0.6486,0,6.5781,,-87.4209,-34.371795,,,,,,,,9.4906,0.100015758,10.88752327,9.4696,0.09842263987,9.43887483,9.3272,0.08842340058,0.30515953,9.2059,0.08091611512,-6.6005661
233_PUB_HTM,611859,010824MB3,MUNI,IG-2,ALAMEDA CA UNIF SCH DIST ALAME,,3,8/1/2038,1000000," 1,000,000 ", -   ,971591.65,927658.1,97.1592,92.76581,-43933.55,4/30/2026,Muni,100,Single,RFRSwap,3.741087,3.28317,7.343177795,-1.040934443,0.068664201,686.64201,0.0527,0.1636,0.2436,0.5766,5.0582,1.2878,0,7.265,,-85.0626,-32.869013,,,,,,,,10.1924,0.1073803169,11.84584244,10.1678,0.105577089,10.32726487,9.9894,0.09356799268,0.1598034,9.8416,0.08492813247,-7.21243037
233_PUB_HTM,612147,012104QK4,MUNI,IG-2,ALBANY CA UNIF SCH DIST,,4,8/1/2032,280000," 280,000 ", -   ,281200.32,280498.74,100.4287,100.17812,-701.58,4/30/2026,Muni,100,Single,RFRSwap,3.966661,3.921141,0.954372942,-1.538731098,0.009655105,27.034294,0.3375,0.0882,0.0911,0.4189,0.1221,0,0,0.8725,,-121.1669,-48.868272,,,,,,,,5.4438,0.05568233836,1.11878066,5.4414,0.05551350126,0.85361335,5.436,0.05514277204,0.27296915,5.4229,0.05424268523,-1.1417729
233_PUB_HTM,611680,012104QL2,MUNI,IG-2,ALBANY CA UNIF SCH DIST,,4,8/1/2033,355000," 355,000 ", -   ,356506.71,355556.68,100.4244,100.15681,-950.03,4/30/2026,Muni,100,Single,RFRSwap,3.974114,3.931399,1.077472091,-1.778305531,0.010898167,38.68849285,0.3287,0.092,0.0942,0.4216,0.2649,0,0,1.0308,,-126.7997,-40.396266,,,,,,,,6.1962,0.06338739677,1.15473847,6.1934,0.06319445414,0.88945836,6.1868,0.06274232105,0.2675049,6.1674,0.06143046294,-1.54057705
233_PUB_HTM,611725,012104QM0,MUNI,IG-2,ALBANY CA UNIF SCH DIST,,4,8/1/2034,410000," 410,000 ", -   ,411690.17,410561.45,100.4122,100.13694,-1128.72,4/30/2026,Muni,100,Single,RFRSwap,3.979664,3.940309,1.200212717,-2.030049324,0.01213725,49.762725,0.3222,0.0926,0.0957,0.3653,0.433,0,0,1.1286,,-132.6247,-32.491961,,,,,,,,6.9197,0.0707993202,1.18976282,6.9165,0.07058301737,0.92436596,6.9084,0.07003681758,0.2533874,6.8803,0.06818939008,-2.01766529
233_PUB_HTM,611288,0153023Y6,MUNI,IG-2,ALEXANDRIA VA,,3,7/15/2033,4980000," 4,980,000 ", -   ,5018107.47,4967288.05,100.7652,99.74474,-50819.42,4/30/2026,Muni,100,Single,RFRSwap,3.039272,2.881277,3.187575579,-1.243959188,0.0320733,1597.25034,0.3869,0.3543,0.2723,1.3599,0.8306,0,0,2.7464,,-186.5172,-79.754505,,,,,,,,6.4368,0.06862403469,5.99229467,6.4254,0.06767948419,4.71142122,6.3894,0.06479962397,0.79764527,6.353,0.06203226691,-2.97726075
233_PUB_HTM,612182,01728VUW8,MUNI,IG-2,ALLEGHENY CNTY PA,,2,11/1/2034,460000," 460,000 ", -   ,409738.19,391315.7,89.0735,85.06863,-18422.5,4/30/2026,Muni,100,Single,RFRSwap,4.097427,3.496646,7.360322952,0.506112695,0.063345201,291.3879246,-0.0211,-0.0311,-0.0578,2.2841,5.1726,0,0,7.9144,,15.5505,19.402699,,,,,,,,7.7578,0.08260899924,20.4220104,7.6943,0.0767134798,13.63862608,7.5476,0.06494571981,-0.01490064,7.4706,0.05966134788,-6.20155311
