Book,Position ID,CUSIP,Sub Type,PRODUCT_CODE_2052a_Collateral_Class,Issuer,Current Factor,Coupon,Maturity Date,Nominal,CA_NOTIONAL,TOTAL_PAYDOWN_BOOK_VALUE,MTB_BOOK VALUE (Clean),PV_NET (MV Clean),MTB_BOOK PRICE (Clean),PRICE (Mkt),NPV_DISC (Clean MTM),Curve Date,Prepay Model,Prepay Rate,Vol Model,Curve Type,Forward Yield,Prospective Yield,Effective Duration,Effective Convexity,Effective DV01,Dollar Duration,1YR,2YR,3YR,5YR,10YR,20YR,30YR,Average Life,LT CPR,OAS,Z-Spread,Factor,Life CPR,GWAC,WALA,WALS,MaxServicerName,MaxServicerPercent,Eff. Dur,DV01,Dollar Return,Eff. Dur.1,DV01.1,Dollar Return.1,Eff. Dur.2,DV01.2,Dollar Return.2,Eff. Dur.3,DV01.3,Dollar Return.3,Eff. Dur.4,DV01.4,Dollar Return.4,Eff. Dur.5,DV01.5,Dollar Return.5
233_PUB_HTM,612346,000416V38,MUNI,IG-2,ABC CA UNIF SCH DIST,,3,8/1/2036," 580,000 "," 580,000 ", -   ,579952.61,554108.86,99.9918,95.53601,-25843.75,6/30/2026,Muni,100,Single,RFRSwap,3.53,3.00,6.47,-0.72,0.063, 363 ,-0.01,-0.01,0.66,0.80,4.99,0.04,0.00,6.6,0.0,-87.3,-49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.98,0.03,18.73,3.02,0.03,15.34,3.85,0.04,11.69,6.62,0.06,0.65,7.29,0.07,-5.94,7.61,0.06,-12.48
233_PUB_HTM,611322,005104HJ6,MUNI,IG-2,ACUSHNET MA,1,3.5,8/1/2034,935000," 935,000 ", -   ,935000,935143.24,100,100.01532,143.24,6/30/2026,Muni,100,Single,RFRSwap,3.50,3.50,0.98,-3.28,0.010, 93 ,0.32,0.12,0.12,0.43,0.26,0.00,0.00,1.1,0.0,-152.7,-60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.46,0.08,0.00,0.41,0.09,0.00,0.32,0.09,0.00,0.14,3.58,0.04,-1.76,4.97,0.05,-6.06
233_PUB_HTM,611540,0054823B8,MUNI,IG-2,ADAMS & ARAPAHOE CNTYS CO JT S,,5,12/1/2031,3000000," 3,000,000 ", -   ,3034919.15,3031681.5,101.164,101.05605,-3237.65,6/30/2026,Muni,100,Single,RFRSwap,4.78,4.75,0.67,-0.60,0.007, 205 ,0.42,0.03,0.03,0.13,0.01,0.00,0.00,0.5,0.0,-166.3,-148,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,1.92,0.40,0.00,1.61,0.43,0.00,1.16,0.44,0.00,0.29,0.96,0.01,-0.33,2.05,0.02,-1.80
233_PUB_HTM,611962,010824MA5,MUNI,IG-2,ALAMEDA CA UNIF SCH DIST ALAME,,3,8/1/2037,1275000," 1,275,000 ", -   ,1255865.94,1204630.58,98.4993,94.48083,-51235.36,6/30/2026,Muni,100,Single,RFRSwap,3.61,3.16,6.61,-1.61,0.063, 806 ,0.06,0.17,0.28,0.62,4.95,0.55,0.00,6.8,0.0,-82.4,-45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.01,10.66,1.07,0.01,9.55,1.43,0.01,8.36,6.40,0.06,0.52,7.58,0.07,-6.07,8.08,0.07,-12.86
233_PUB_HTM,611859,010824MB3,MUNI,IG-2,ALAMEDA CA UNIF SCH DIST ALAME,,3,8/1/2038,1000000," 1,000,000 ", -   ,971909.58,936117.9,97.191,93.61179,-35791.68,6/30/2026,Muni,100,Single,RFRSwap,3.66,3.28,7.23,-1.49,0.069, 686 ,0.05,0.14,0.26,0.58,5.03,1.16,0.00,7.5,0.0,-79.9,-43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.05,0.01,11.50,1.07,0.01,10.39,1.58,0.02,9.17,7.05,0.07,0.37,8.22,0.07,-6.72,8.67,0.07,-13.89
233_PUB_HTM,612147,012104QK4,MUNI,IG-2,ALBANY CA UNIF SCH DIST,,4,8/1/2032,280000," 280,000 ", -   ,280404.46,280296.66,100.1444,100.10595,-107.8,6/30/2026,Muni,100,Single,RFRSwap,2.72,2.28,0.09,0.00,0.001, 3 ,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.1,0.0,-115.7,-116,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.38,0.08,0.00,0.33,0.09,0.00,0.24,0.09,0.00,0.06,0.09,0.00,-0.03,0.09,0.00,-0.12
233_PUB_HTM,611680,012104QL2,MUNI,IG-2,ALBANY CA UNIF SCH DIST,,4,8/1/2033,355000," 355,000 ", -   ,355507.69,355376.12,100.143,100.10595,-131.57,6/30/2026,Muni,100,Single,RFRSwap,2.72,2.30,0.09,0.00,0.001, 3 ,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.1,0.0,-115.7,-116,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.38,0.08,0.00,0.33,0.09,0.00,0.24,0.09,0.00,0.06,0.09,0.00,-0.03,0.09,0.00,-0.12
233_PUB_HTM,611725,012104QM0,MUNI,IG-2,ALBANY CA UNIF SCH DIST,,4,8/1/2034,410000," 410,000 ", -   ,410569.51,410434.39,100.1389,100.10595,-135.12,6/30/2026,Muni,100,Single,RFRSwap,2.72,2.34,0.09,0.00,0.001, 4 ,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.1,0.0,-115.7,-116,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.38,0.08,0.00,0.33,0.09,0.00,0.24,0.09,0.00,0.06,0.09,0.00,-0.03,0.09,0.00,-0.12
233_PUB_HTM,611288,0153023Y6,MUNI,IG-2,ALEXANDRIA VA,,3,7/15/2033,4980000," 4,980,000 ", -   ,5012865.06,4967432.97,100.6599,99.74765,-45432.09,6/30/2026,Muni,100,Single,RFRSwap,3.04,2.90,2.74,-1.59,0.028," 1,379 ",0.47,0.29,0.27,1.15,0.60,0.00,0.00,2.5,0.0,-181.2,-90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.03,0.01,6.36,1.04,0.01,5.26,1.04,0.01,4.16,2.65,0.03,0.94,3.94,0.04,-2.40,4.76,0.04,-6.63
233_PUB_HTM,612182,01728VUW8,MUNI,IG-2,ALLEGHENY CNTY PA,,2,11/1/2034,460000," 460,000 ", -   ,410588.37,394095.48,89.2583,85.67293,-16492.89,6/30/2026,Muni,100,Single,RFRSwap,4.04,3.50,7.28,0.47,0.063, 288 ,-0.02,-0.03,-0.06,2.48,4.90,0.00,0.00,7.9,0.0,4.1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.11,0.05,24.82,5.47,0.06,19.86,6.76,0.07,13.46,7.35,0.06,0.17,7.32,0.06,-5.93,7.27,0.05,-11.57
