Report As Of Date,Book,Position ID,CUSIP,Sub Type,PRODUCT_CODE_2052a_Collateral_Class,Issuer,Current Factor,Coupon,Trade Date,Maturity Date,Nominal,CA_NOTIONAL,TOTAL_PAYDOWN_BOOK_VALUE,MTB_BOOK VALUE (Clean),PV_NET (MV Clean),MTB_BOOK PRICE (Clean),PRICE (Mkt),NPV_DISC (Clean MTM),Forward Yield,Prospective Yield,Effective Duration,Effective Convexity,Effective DV01,Dollar Duration,1YR,2YR,3YR,5YR,10YR,20YR,30YR,Average Life,LT CPR,OAS,Z-Spread,Factor,Life CPR,GWAC,WALA,WALS,MaxServicerName,MaxServicerPercent,Eff. Dur,DV01,Dollar Return,Eff. Dur.1,DV01.1,Dollar Return.1,Eff. Dur.2,DV01.2,Dollar Return.2,Eff. Dur.3,DV01.3,Dollar Return.3,Eff. Dur.4,DV01.4,Dollar Return.4,Eff. Dur.5,DV01.5,Dollar Return.5
6/30/2026,233_PUB_HTM,612346,000416V38,MUNI,IG-2,ABC CA UNIF SCH DIST,,3,6/30/2025,8/1/2036,580000,580000,0,579952.61,554108.86,99.9918,95.53601,-25843.75,3.529666,3.000764,6.363180161,-0.588339388,0.061581381,357.1720098,-0.0066,-0.0134,0.7194,0.8122,4.8454,0.0369,0,6.3101,,-98.9961,-49.363719,,,,,,,,2.9816,0.034439098,18.72893583,3.0181,0.03383965,15.34475273,3.8541,0.041804153,11.6880081,6.6222,0.064521164,0.65441848,7.2916,0.066238254,-5.9360827,7.605,0.064111024,-12.47599205
6/30/2026,233_PUB_HTM,611322,005104HJ6,MUNI,IG-2,ACUSHNET MA,1,3.5,6/30/2025,8/1/2034,935000,935000,0,935000,935143.24,100,100.01532,143.24,3.497198,3.499653,0.983994722,-3.281383276,0.009983997,93.35037195,0.3174,0.1201,0.1198,0.4311,0.2593,0,0,1.1465,,-152.6568,-59.718389,,,,,,,,0.0449,0.000457926,0.46012031,0.079,0.00080526,0.40836897,0.0894,0.000909896,0.31722072,0.0889,0.000903598,0.13587267,3.583,0.035723828,-1.76057519,4.9668,0.047385182,-6.05958983
6/30/2026,233_PUB_HTM,611540,0054823B8,MUNI,IG-2,ADAMS & ARAPAHOE CNTYS CO JT S,,5,6/30/2025,12/1/2031,3000000,3000000,0,3034919.15,3031681.5,101.164,101.05605,-3237.65,4.775687,4.753004,0.525172174,-0.327381462,0.005328335,159.85005,0.4304,0.0173,0.0163,0.0567,0.0043,0,0,0.4876,,-152.6485,-148.122847,,,,,,,,0.2869,0.002965846,1.9217998,0.3963,0.004084423,1.60669796,0.4287,0.004399052,1.16482004,0.435,0.004426572,0.2927959,0.9551,0.009659138,-0.32739476,2.0504,0.020433748,-1.80060035
6/30/2026,233_PUB_HTM,611962,010824MA5,MUNI,IG-2,ALAMEDA CA UNIF SCH DIST ALAME,,3,6/30/2025,8/1/2037,1275000,1275000,0,1255865.94,1204630.58,98.4993,94.48083,-51235.36,3.608246,3.161347,6.178809643,-1.378998995,0.059145112,754.100178,0.0945,0.2068,0.2947,0.6396,4.5222,0.4865,0,5.978,,-107.0569,-44.651355,,,,,,,,1.0495,0.011165271,10.65956543,1.0725,0.011290701,9.54855038,1.4277,0.014859524,8.35967449,6.4007,0.061603878,0.52256997,7.5802,0.067958847,-6.06956475,8.0763,0.066925824,-12.85530091
6/30/2026,233_PUB_HTM,611859,010824MB3,MUNI,IG-2,ALAMEDA CA UNIF SCH DIST ALAME,,3,6/30/2025,8/1/2038,1000000,1000000,0,971909.58,936117.9,97.191,93.61179,-35791.68,3.658542,3.283273,6.793441772,-1.312919021,0.064438142,644.38142,0.0888,0.1673,0.2817,0.6006,4.5904,1.0595,0,6.6815,,-104.4866,-42.826966,,,,,,,,1.0494,0.011160694,11.49924843,1.0724,0.011286099,10.38868761,1.5847,0.016484754,9.17322493,7.0522,0.067152619,0.36903183,8.2226,0.072470665,-6.71731443,8.6678,0.070178837,-13.88874023
6/30/2026,233_PUB_HTM,612147,012104QK4,MUNI,IG-2,ALBANY CA UNIF SCH DIST,,4,6/30/2025,8/1/2032,280000,280000,0,280404.46,280296.66,100.1444,100.10595,-107.8,2.721671,2.282021,0.088633716,0.000305437,0.00090195,2.52546,0.0886,0,0,0,0,0,0,0.0861,,-115.6559,-115.65589,,,,,,,,0.0448,0.000458046,0.38013,0.0789,0.00080548,0.32836482,0.0892,0.000910153,0.23719125,0.0888,0.000903875,0.05578975,0.0885,0.000900763,-0.03444197,0.0883,0.000897671,-0.12436352
6/30/2026,233_PUB_HTM,611680,012104QL2,MUNI,IG-2,ALBANY CA UNIF SCH DIST,,4,6/30/2025,8/1/2033,355000,355000,0,355507.69,355376.12,100.143,100.10595,-131.57,2.721671,2.298024,0.088633716,0.000305436,0.00090195,3.2019225,0.0886,0,0,0,0,0,0,0.0861,,-115.6559,-115.65589,,,,,,,,0.0448,0.000458046,0.38013,0.0789,0.00080548,0.32836483,0.0892,0.000910153,0.23719125,0.0888,0.000903875,0.05578975,0.0885,0.000900763,-0.03444197,0.0883,0.000897671,-0.12436352
6/30/2026,233_PUB_HTM,611725,012104QM0,MUNI,IG-2,ALBANY CA UNIF SCH DIST,,4,6/30/2025,8/1/2034,410000,410000,0,410569.51,410434.39,100.1389,100.10595,-135.12,2.721671,2.34489,0.088633716,0.000305436,0.00090195,3.697995,0.0886,0,0,0,0,0,0,0.0861,,-115.6559,-115.65589,,,,,,,,0.0448,0.000458046,0.38013001,0.0789,0.00080548,0.32836483,0.0892,0.000910153,0.23719125,0.0888,0.000903875,0.05578976,0.0885,0.000900763,-0.03444197,0.0883,0.000897671,-0.12436352
6/30/2026,233_PUB_HTM,611288,0153023Y6,MUNI,IG-2,ALEXANDRIA VA,,3,6/30/2025,7/15/2033,4980000,4980000,0,5012865.06,4967432.97,100.6599,99.74765,-45432.09,3.039942,2.895603,2.817713737,-1.217675924,0.02849347,1418.974806,0.449,0.2923,0.2653,1.2118,0.6384,0,0,2.4156,,-211.6711,-89.893951,,,,,,,,1.0318,0.011089982,6.36003797,1.0376,0.011038128,5.25945803,1.0383,0.010931981,4.16129076,2.6471,0.027016686,0.94017314,3.9393,0.038888957,-2.40142929,4.7588,0.044966448,-6.63164207
6/30/2026,233_PUB_HTM,612182,01728VUW8,MUNI,IG-2,ALLEGHENY CNTY PA,,2,6/30/2025,11/1/2034,460000,460000,0,410588.37,394095.48,89.2583,85.67293,-16492.89,4.041225,3.496354,7.189352512,0.429329723,0.061828941,284.4131286,-0.0203,-0.0324,-0.0404,2.5366,4.7496,0,0,7.6035,,1.3641,6.754946,,,,,,,,4.1124,0.045573793,24.82018706,5.4747,0.057955831,19.85990497,6.7563,0.067197755,13.45822014,7.3497,0.06333635,0.1744766,7.323,0.058637254,-5.92757402,7.2745,0.054146264,-11.56824756
