CUSIP,Sub Type,Forward_Yield,Effective_Duration,Effective_Convexity,Effective_DV01,Dollar_Duration,PD_1Y,PD_2Y,PD_3Y,PD_5Y,PD_10Y,PD_20Y,PD_30Y,Average_Life,LT_CPR,Life_CPR,OAS,Z_Spread,Factor,GWAC,WALA,WALS,MaxServicerName,MaxServicerPercent,EffDur_-200,DV01_-200,DollarReturn_-200,EffDur_-100,DV01_-100,DollarReturn_-100,EffDur_+100,DV01_+100,DollarReturn_+100,EffDur_+200,DV01_+200,DollarReturn_+200
000416V38,MUNI,,8.910446,0.968331,0.088105,,-0.011300,-0.015200,-0.037300,-0.154700,8.599100,0.529000,0.000000,10.572200,,,-57.555500,-57.555521,,,,,,,8.938400,0.098552,11.412255,8.870600,0.093326,6.363803,8.676100,0.080185,-6.424754,8.556000,0.073244,-13.239909
005104HJ6,MUNI,,0.074179,-1.035360,0.000753,,,,,,,,,0.072200,,,-61.590300,-61.590333,,,,,,,6.448300,0.065781,0.533352,6.447300,0.065713,0.443654,6.412000,0.063451,-2.523771,6.355100,0.059993,-7.078473
0054823B8,MUNI,,0.880017,0.015740,0.009028,,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.905600,,,-85.435500,-85.435463,,,,,,,4.999500,0.052226,1.924322,4.991800,0.051718,1.067298,4.973500,0.050534,-0.931878,4.953200,0.049250,-3.106773
010824MA5,MUNI,,9.596170,1.126339,0.092947,,-0.011300,-0.015300,-0.037800,-0.159400,8.242200,1.576600,0.000000,11.572200,,,-43.843500,-43.843526,,,,,,,9.582000,0.100837,8.410170,9.536800,0.097631,5.547640,9.325400,0.084282,-6.446739,9.180100,0.076449,-13.548762
010824MB3,MUNI,,10.271556,1.294804,0.098367,,-0.011500,-0.015700,-0.039100,-0.165100,7.731600,2.770000,0.000000,12.572200,,,-41.220500,-41.220476,,,,,,,10.270300,0.107937,9.363427,10.213100,0.104027,6.123112,9.952500,0.088354,-6.957009,9.776700,0.079483,-14.435173
012104QK4,MUNI,,0.557317,0.006428,0.005699,,0.557300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.572200,,,-54.845900,-54.845874,,,,,,,5.579400,0.057829,1.433281,5.574300,0.057489,0.917800,5.546300,0.055669,-1.842526,5.506600,0.053199,-5.604991
012104QL2,MUNI,,0.557060,0.006423,0.005694,,0.557100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.572200,,,-45.637500,-45.637513,,,,,,,6.317900,0.065502,1.514666,6.312000,0.065115,0.998536,6.274600,0.062717,-2.208065,6.222600,0.059560,-6.447670
31287TTT2,Agency MBS 30yr,4.290451,2.029494,0.048650,0.021247,,0.247100,0.418900,0.799700,0.568200,-0.000600,-0.003300,-0.000600,2.243000,,,89.131300,73.330765,0.008425,7.000000,288.000000,18643.724600,,,2.017700,0.022027,4.512603,2.008100,0.021496,2.436471,1.961700,0.020184,-1.625968,1.947000,0.019646,-3.569104
31288ED61,Agency MBS 30yr,4.823359,2.297013,0.036008,0.023358,,0.220400,0.373600,0.736500,0.929100,0.042700,-0.004400,-0.000800,2.570200,,,138.480300,122.588013,0.015755,5.875000,283.000000,50468.996100,,,2.239800,0.023857,4.897036,2.260000,0.023560,2.675054,2.236800,0.022294,-1.810078,2.246200,0.021886,-4.000253
3128KRY32,Agency MBS 30yr,4.850212,2.363091,0.026760,0.024320,,0.213300,0.368300,0.727800,1.000600,0.062300,-0.007600,-0.001400,2.678900,,,140.480100,124.154022,0.031776,6.437000,286.000000,54718.386700,,,2.311500,0.024937,5.037587,2.344700,0.024754,2.771476,2.304600,0.023233,-1.898556,2.315100,0.022803,-4.169998
3128KWVU4,Agency MBS 30yr,4.584957,3.756706,0.062318,0.038978,,0.132800,0.257700,0.531100,1.436700,1.394000,0.010200,-0.004600,4.557400,,,96.228100,74.299614,0.013127,6.250000,227.000000,24007.857400,,,3.747400,0.041821,7.912079,3.807200,0.041071,4.232201,3.695500,0.037028,-3.357371,3.706800,0.035769,-7.015764
3128L7EG8,Agency MBS 30yr,4.234539,3.335674,-0.239734,0.034350,,0.153600,0.286700,0.566400,1.394400,1.002900,-0.052900,-0.013200,4.143200,,,59.520700,42.627720,0.044058,5.618000,219.000000,71120.421900,,,3.098400,0.033758,6.043888,3.442100,0.036634,3.550784,3.587700,0.035784,-3.049356,3.556600,0.034234,-6.491271
3128LCJU1,Agency MBS 30yr,4.414176,3.310983,-0.204121,0.034479,,0.160700,0.285900,0.550800,1.370900,1.008200,-0.052300,-0.012200,4.142300,,,78.291400,60.687454,0.230773,6.059000,234.000000,92563.250000,,,3.131400,0.034558,6.287869,3.404400,0.036646,3.609277,3.518300,0.035505,-3.030836,3.541300,0.034501,-6.475975
3128M83G7,Agency MBS 30yr,4.284612,4.607083,-0.100265,0.044416,,0.090400,0.210100,0.481700,1.373500,2.173000,0.288100,-0.002400,5.597900,,,50.863400,31.827629,0.059626,4.215000,175.000000,144426.515600,,,4.009300,0.041891,8.162216,4.603000,0.046449,4.621032,4.590800,0.042317,-4.027933,4.563400,0.040036,-8.429882
3136BDL55,Agency CMO,4.291797,8.657649,0.391521,0.067412,,0.026500,0.061000,0.165600,0.918600,3.590300,3.562900,0.364400,9.745200,,,17.555600,45.722912,0.748338,,,,,,7.355300,0.067433,13.892655,7.374700,0.062549,7.074995,7.390700,0.052790,-6.222327,7.433300,0.048498,-12.363187
3136BDM39,Agency CMO,4.753183,8.806859,0.562128,0.067056,,0.022500,0.058900,0.160700,0.906400,3.585700,3.683200,0.420100,10.095600,,,63.443900,92.925270,0.743457,,,,,,7.349100,0.066203,13.993739,7.442800,0.061920,7.123668,7.485900,0.052310,-6.157348,7.499600,0.047860,-12.202702
3136BDV54,Agency CMO,5.039136,7.800525,0.132645,0.060310,,0.051000,0.092800,0.224900,1.072100,3.308800,2.748000,0.342100,8.238700,,,93.623300,132.776993,0.613128,,,,,,5.739100,0.051402,12.297497,5.789400,0.048404,6.357270,5.968600,0.042720,-5.644806,6.177600,0.040518,-11.616059
