BBG TBA Cusip	PX_ASK	YB Px	Settle Dt	Description	CUSIP	Ln Rate	Coupon	Ln Px	Px Adj	Final Px	Settlement Date	Yield	Z-Spread	OAS	OptionValue	WAL	LT CPR	Static Dur	Static Cvx	Eff Dur	Eff Cnvx		-300	-200	-100	-75	-50	-25	-10	-5	0	5	10	25	50	75	100	200	300		-300	-200	-100	-75	-50	-25	-10	-5	0	5	10	25	50	75	100	200	300
FNMA 3.0 Mtge	85.98	85-31 4/8	9/14/2026	FNCL 3.0% (TBA)	FNM30.300.25 (CTD)			85.98	 -   	85.98	9/14/2026	 5.05 	 70 	 34 	 36 	 9.62 	 6.26 	 6.74 	 0.80 	 7.63 	 (0.35)		 16.11 	 12.08 	 6.37 	 4.82 	 3.24 	 1.63 	 0.66 	 0.33 	 -   	 (0.33)	 (0.66)	 (1.65)	 (3.32)	 (4.99)	 (6.65)	 (13.18)	 (19.30)		 102.09 	 98.06 	 92.35 	 90.80 	 89.22 	 87.62 	 86.64 	 86.31 	 85.98 	 85.66 	 85.33 	 84.33 	 82.67 	 81.00 	 79.34 	 72.81 	 66.69 
FNMA 3.5 Mtge	89.55	89-17 4/8	9/14/2026	FNCL 3.5% (TBA)	FNM30.350.25 (CTD)			89.55	 -   	89.55	9/14/2026	 5.05 	 70 	 32 	 38 	 9.48 	 6.52 	 6.62 	 0.77 	 7.01 	 (0.45)		 13.35 	 10.93 	 6.01 	 4.58 	 3.09 	 1.56 	 0.63 	 0.31 	 -   	 (0.31)	 (0.63)	 (1.58)	 (3.19)	 (4.82)	 (6.45)	 (12.96)	 (19.14)		 102.90 	 100.47 	 95.56 	 94.12 	 92.63 	 91.10 	 90.17 	 89.86 	 89.55 	 89.23 	 88.92 	 87.96 	 86.36 	 84.73 	 83.10 	 76.59 	 70.40 
FNMA 4.0 Mtge	92.22	92-07	9/14/2026	FNCL 4.0% (TBA)	FNM30.400.25 (CTD)			92.22	 -   	92.22	9/14/2026	 5.21 	 88 	 47 	 42 	 8.99 	 7.30 	 6.30 	 0.71 	 6.35 	 (0.69)		 10.63 	 9.33 	 5.44 	 4.17 	 2.84 	 1.45 	 0.58 	 0.29 	 -   	 (0.29)	 (0.59)	 (1.49)	 (3.00)	 (4.54)	 (6.09)	 (12.44)	 (18.64)		 102.84 	 101.55 	 97.66 	 96.39 	 95.06 	 93.67 	 92.80 	 92.51 	 92.22 	 91.92 	 91.63 	 90.73 	 89.22 	 87.68 	 86.13 	 79.78 	 73.58 
FNMA 4.5 Mtge	94.80	94-25 4/8	9/14/2026	FNCL 4.5% (TBA)	FNM30.450.25 (CTD)			94.80	 -   	94.80	9/14/2026	 5.31 	 97 	 51 	 46 	 9.16 	 7.27 	 6.33 	 0.71 	 5.75 	 (0.94)		 8.28 	 7.40 	 4.83 	 3.78 	 2.60 	 1.34 	 0.54 	 0.27 	 -   	 (0.27)	 (0.55)	 (1.39)	 (2.84)	 (4.32)	 (5.83)	 (12.06)	 (18.32)		 103.08 	 102.19 	 99.63 	 98.57 	 97.40 	 96.13 	 95.34 	 95.07 	 94.80 	 94.52 	 94.25 	 93.40 	 91.96 	 90.47 	 88.96 	 82.73 	 76.48 
FNMA 5.0 Mtge	97.36	97-11 4/8	9/14/2026	FNCL 5.0% (TBA)	FNM30.500.25 (CTD)			97.36	 -   	97.36	9/14/2026	 5.42 	 108 	 53 	 55 	 9.08 	 7.54 	 5.97 	 0.63 	 4.95 	 (1.63)		 6.18 	 5.20 	 3.84 	 3.11 	 2.20 	 1.16 	 0.48 	 0.24 	 -   	 (0.24)	 (0.49)	 (1.26)	 (2.58)	 (3.96)	 (5.39)	 (11.40)	 (17.60)		 103.54 	 102.56 	 101.19 	 100.47 	 99.56 	 98.52 	 97.84 	 97.60 	 97.36 	 97.12 	 96.87 	 96.10 	 94.78 	 93.40 	 91.97 	 85.96 	 79.75 
FNMA 5.5 Mtge	99.69	99-22	9/14/2026	FNCL 5.5% (TBA)	FNM30.550.25 (CTD)			99.69	 -   	99.69	9/14/2026	 5.55 	 125 	 59 	 65 	 8.15 	 9.02 	 5.42 	 0.52 	 3.97 	 (1.92)		 4.73 	 3.68 	 2.79 	 2.34 	 1.72 	 0.93 	 0.39 	 0.20 	 -   	 (0.20)	 (0.41)	 (1.05)	 (2.20)	 (3.43)	 (4.71)	 (10.28)	 (16.21)		 104.42 	 103.37 	 102.48 	 102.02 	 101.41 	 100.62 	 100.07 	 99.88 	 99.69 	 99.49 	 99.28 	 98.64 	 97.49 	 96.26 	 94.98 	 89.41 	 83.48 
FNMA 6.0 Mtge	101.66	101-21	9/14/2026	FNCL 6.0% (TBA)	FNM30.600.25 (CTD)			101.66	 -   	101.66	9/14/2026	 5.67 	 139 	 65 	 74 	 7.06 	 11.13 	 4.47 	 0.38 	 3.05 	 (2.26)		 3.58 	 2.57 	 1.95 	 1.67 	 1.26 	 0.70 	 0.30 	 0.15 	 -   	 (0.16)	 (0.32)	 (0.85)	 (1.82)	 (2.89)	 (4.04)	 (9.18)	 (14.80)		 105.24 	 104.23 	 103.60 	 103.32 	 102.92 	 102.36 	 101.96 	 101.81 	 101.66 	 101.50 	 101.33 	 100.81 	 99.84 	 98.77 	 97.62 	 92.48 	 86.86 
FNMA 6.5 Mtge	103.50	103-16	9/14/2026	FNCL 6.5% (TBA)	FNM30.650.25 (CTD)			103.50	 -   	103.50	9/14/2026	 5.61 	 136 	 64 	 72 	 5.39 	 15.58 	 3.56 	 0.27 	 2.13 	 (2.14)		 2.84 	 1.79 	 1.25 	 1.09 	 0.84 	 0.48 	 0.21 	 0.11 	 -   	 (0.11)	 (0.23)	 (0.62)	 (1.38)	 (2.25)	 (3.23)	 (7.84)	 (13.12)		 106.34 	 105.29 	 104.75 	 104.59 	 104.34 	 103.98 	 103.71 	 103.61 	 103.50 	 103.39 	 103.27 	 102.88 	 102.12 	 101.25 	 100.27 	 95.66 	 90.38 
FNMA 7.0 Mtge	105.06	105-02	9/14/2026	FNCL 7.0% (TBA)	FNM30.700.25 (CTD)			105.06	 -   	105.06	9/14/2026	 5.49 	 127 	 65 	 62 	 4.45 	 19.23 	 3.12 	 0.22 	 1.50 	 (1.85)		 2.51 	 1.40 	 0.87 	 0.75 	 0.58 	 0.33 	 0.15 	 0.08 	 -   	 (0.08)	 (0.17)	 (0.46)	 (1.03)	 (1.73)	 (2.53)	 (6.57)	 (11.43)		 107.57 	 106.46 	 105.93 	 105.81 	 105.64 	 105.40 	 105.21 	 105.14 	 105.06 	 104.98 	 104.90 	 104.61 	 104.03 	 103.33 	 102.53 	 98.49 	 93.64 
FNMA 7.5 Mtge	105.64	105-20 3/8	9/14/2026	FNCL 7.5% (TBA)	FNM30.750.25 (CTD)			105.64	 -   	105.64	9/14/2026	 5.52 	 134 	 91 	 43 	 3.69 	 23.24 	 2.76 	 0.17 	 1.51 	 (1.11)		 3.56 	 2.23 	 1.33 	 1.02 	 0.70 	 0.36 	 0.15 	 0.08 	 -   	 (0.08)	 (0.16)	 (0.44)	 (0.96)	 (1.58)	 (2.27)	 (5.75)	 (10.02)		 109.19 	 107.87 	 106.96 	 106.66 	 106.33 	 106.00 	 105.79 	 105.72 	 105.64 	 105.56 	 105.47 	 105.20 	 104.67 	 104.06 	 103.37 	 99.89 	 95.61 
